Sede,Jornada,Código,Carrera,Categoría,Mención / Especialidad,Nº de Plan,Tipo de Malla,Nº Semestres
Casa Central Valparaíso,Diurna,13-1,Arquitectura,Profesional,,1325,Malla Nueva,2
Casa Central Valparaíso,Diurna,13-1,Arquitectura,Profesional,,1311,Malla Antigua,10
Casa Central Valparaíso,Diurna,12-1,Construcción Civil,Profesional,,1215,Malla Nueva,10
Casa Central Valparaíso,Diurna,54-1,I.Civil Metalúrgica,Profesional,,5408,Malla Nueva,10
Casa Central Valparaíso,Diurna,54-1,I.Civil Metalúrgica,Profesional,,5405,Malla Antigua,12
Casa Central Valparaíso,Diurna,54-1,I.Civil Metalúrgica,Profesional,,5406,Malla Antigua,12
Casa Central Valparaíso,Diurna,22-1,I.Ejec.Electrónica,Profesional,"Computadores, Control e Instrumentación, Electrónica Industrial, Telecomunicaciones",2211,Malla Nueva,8
Casa Central Valparaíso,Diurna,22-1,I.Ejec.Electrónica,Profesional,"Computadores, Control e Instrumentación, Electrónica Industrial, Telecomunicaciones",2203,Malla Antigua,8
Casa Central Valparaíso,Diurna,74-1,I.Ejec.Informática,Profesional,,7405,Malla Nueva,8
Casa Central Valparaíso,Diurna,74-1,I.Ejec.Informática,Profesional,,7400,Malla Antigua,8
Casa Central Valparaíso,Diurna,11-1,Ing. Civil,Profesional,,1125,Malla Nueva,1
Casa Central Valparaíso,Diurna,11-1,Ing. Civil,Profesional,,1115,Malla Antigua,12
Casa Central Valparaíso,Diurna,23-1,Ing. Civil  Eléctrica,Profesional,,2308,Malla Nueva,10
Casa Central Valparaíso,Diurna,23-1,Ing. Civil  Eléctrica,Profesional,,2311,Malla Antigua,13
Casa Central Valparaíso,Diurna,84-1,Ing. Civil Ambiental,Profesional,,8419,Malla Nueva,10
Casa Central Valparaíso,Diurna,84-1,Ing. Civil Ambiental,Profesional,,8418,Malla Antigua,12
Casa Central Valparaíso,Diurna,4-1,Ing. Civil Común,Profesional,,0406,Malla Nueva,4
Casa Central Valparaíso,Diurna,4-1,Ing. Civil Común,Profesional,,0410,Malla Antigua,4
Casa Central Valparaíso,Diurna,21-1,Ing. Civil Electrónica,Profesional,,2106,Malla Nueva,10
Casa Central Valparaíso,Diurna,21-1,Ing. Civil Electrónica,Profesional,"Computadores, Control e Instrumentación, Electrónica Industrial, Telecomunicaciones",2111,Malla Antigua,12
Casa Central Valparaíso,Diurna,21-1,Ing. Civil Electrónica,Profesional,"Computadores, Control e Instrumentación, Electrónica Industrial, Telecomunicaciones",3103,Malla Antigua,12
Casa Central Valparaíso,Diurna,125-1,Ing. Civil en Biotecnología,Profesional,,12525,Malla Nueva,10
Casa Central Valparaíso,Diurna,60-1,Ing. Civil Industrial,Profesional,,6006,Malla Antigua,12
Casa Central Valparaíso,Diurna,60-1,Ing. Civil Industrial,Profesional,,6008,Malla Antigua,10
Casa Central Valparaíso,Diurna,60-1,Ing. Civil Industrial,Profesional,Proyectos,6050,Malla Nueva,12
Casa Central Valparaíso,Diurna,73-1,Ing. Civil Informática,Profesional,,7310,Malla Nueva,10
Casa Central Valparaíso,Diurna,73-1,Ing. Civil Informática,Profesional,,7313,Malla Antigua,11
Casa Central Valparaíso,Diurna,41-1,Ing. Civil Mecánica,Profesional,,4116,Malla Antigua,13
Casa Central Valparaíso,Diurna,41-1,Ing. Civil Mecánica,Profesional,,4125,Malla Antigua,1
Casa Central Valparaíso,Diurna,41-1,Ing. Civil Mecánica,Profesional,Energía,4505,Malla Antigua,13
Casa Central Valparaíso,Diurna,41-1,Ing. Civil Mecánica,Profesional,Producción,4605,Malla Nueva,13
Casa Central Valparaíso,Diurna,51-1,Ing. Civil Química,Profesional,,5119,Malla Nueva,10
Casa Central Valparaíso,Diurna,51-1,Ing. Civil Química,Profesional,,5117,Malla Antigua,12
Casa Central Valparaíso,Diurna,30-1,Ing. Civil Telemática,Profesional,,3004,Malla Nueva,10
Casa Central Valparaíso,Diurna,30-1,Ing. Civil Telemática,Profesional,,3016,Malla Antigua,12
Casa Central Valparaíso,Diurna,66-1,Ing. Comercial,Profesional,,6607,Malla Nueva,11
Casa Central Valparaíso,Diurna,66-1,Ing. Comercial,Profesional,,6606,Malla Antigua,11
Casa Central Valparaíso,Diurna,98-1,Ing. Comercial (Convenio UAI),Profesional,,9874,Malla Nueva,0
Casa Central Valparaíso,Diurna,69-1,Ing. en Aviación Comercial,Profesional,,6923,Malla Nueva,10
Casa Central Valparaíso,Diurna,44-1,Ing. en Diseño de Productos,Profesional,,4425,Malla Nueva,1
Casa Central Valparaíso,Diurna,44-1,Ing. en Diseño de Productos,Profesional,,4420,Malla Antigua,10
Casa Central Valparaíso,Diurna,43-1,Ing. Mecánica Industrial,Profesional,,4310,Malla Nueva,10
Casa Central Valparaíso,Diurna,83-1,Ingeniería Ambiental,Profesional,,8305,Malla Nueva,11
Casa Central Valparaíso,Diurna,112-1,Ingeniería Civil Física,Profesional,,11224,Malla Nueva,10
Casa Central Valparaíso,Diurna,112-1,Ingeniería Civil Física,Profesional,,11223,Malla Antigua,11
Casa Central Valparaíso,Diurna,10-1,Ingeniería Civil Matemática,Profesional,,1009,Malla Nueva,10
Casa Central Valparaíso,Diurna,10-1,Ingeniería Civil Matemática,Profesional,,1014,Malla Antigua,12
Casa Central Valparaíso,Diurna,25-1,Ingeniería Eléctrica,Profesional,,2511,Malla Nueva,10
Casa Central Valparaíso,Diurna,25-1,Ingeniería Eléctrica,Profesional,,2510,Malla Antigua,10
Casa Central Valparaíso,Diurna,72-1,Ingeniería Informática,Profesional,,7200,Malla Nueva,10
Casa Central Valparaíso,Diurna,59-1,Piloto Comercial,Profesional,,5912,Malla Nueva,6
Casa Central Valparaíso,Diurna,59-1,Piloto Comercial,Profesional,,5900,Malla Antigua,6
Casa Central Valparaíso,Diurna,59-1,Piloto Comercial,Profesional,,5910,Malla Antigua,7
Casa Central Valparaíso,Diurna,59-1,Piloto Comercial,Profesional,,5911,Malla Antigua,6
Casa Central Valparaíso,Diurna,80-1,Químico,Profesional,,8000,Malla Nueva,9
Casa Central Valparaíso,Diurna,87-1,Lic. en Astrofísica,Licenciatura,,8720,Malla Nueva,8
Casa Central Valparaíso,Diurna,85-1,Lic. en Ciencias Mención Física,Licenciatura,Física,8518,Malla Nueva,8
Casa Central Valparaíso,Diurna,88-1,Lic. en Ciencias Mención Matemática,Licenciatura,Matemática,8814,Malla Nueva,8
Casa Central Valparaíso,Diurna,89-1,Lic. en Ciencias Mención Química,Licenciatura,Química,8900,Malla Nueva,9
Casa Central Valparaíso,Diurna,79-1,Lic. en Física,Licenciatura,,7920,Malla Nueva,8
Casa Central Valparaíso,Diurna,180-1,Mag. Prof. en Redes y Telecom.,Magíster,,002,Malla Nueva,4
Casa Central Valparaíso,Diurna,290-1,Mag. Rehabilitación Arq. Sostenible,Magíster,,291,Malla Nueva,3
Casa Central Valparaíso,Diurna,780-1,Mag.Cs. de la Ing.Civil,Magíster,,78002,Malla Nueva,4
Casa Central Valparaíso,Diurna,380-1,Mag.Cs. de la Ing.Electrónica,Magíster,"Control Automático, Sistemas Computacionales",38001,Malla Nueva,1
Casa Central Valparaíso,Diurna,280-1,Mag.Cs. de la Ing.Eléctrica,Magíster,"Máquinas Eléctricas, Sistema de Potencia, de Alta Tensión",28001,Malla Nueva,1
Casa Central Valparaíso,Diurna,270-1,Mag.Cs. de la Ing.Industrial,Magíster,,27001,Malla Nueva,1
Casa Central Valparaíso,Diurna,270-1,Mag.Cs. de la Ing.Industrial,Magíster,,271,Malla Antigua,1
Casa Central Valparaíso,Diurna,680-1,Mag.Cs. de la Ing.Informática,Magíster,,68002,Malla Nueva,3
Casa Central Valparaíso,Diurna,680-1,Mag.Cs. de la Ing.Informática,Magíster,"Desarrollo de Software, Modelos y Métodos Cuantitativos, Sistemas de Computación, Sistemas y Gestión",68001,Malla Antigua,1
Casa Central Valparaíso,Diurna,480-1,Mag.Cs. de la Ing.Mecánica,Magíster,"Cs.Básicas de la Ing.Mec., Energías Renovables, Procesos Térmicos, Producción",48001,Malla Nueva,2
Casa Central Valparaíso,Diurna,260-1,Mag.Cs. de la Ing.Metalúrgica,Magíster,,262,Malla Nueva,4
Casa Central Valparaíso,Diurna,260-1,Mag.Cs. de la Ing.Metalúrgica,Magíster,,261,Malla Antigua,1
Casa Central Valparaíso,Diurna,261-1,Mag.Cs. de la Ing.Metalúrgica y de Minas,Magíster,,12611,Malla Nueva,4
Casa Central Valparaíso,Diurna,580-1,Mag.Cs. de la Ing.Química,Magíster,,58002,Malla Nueva,4
Casa Central Valparaíso,Diurna,580-1,Mag.Cs. de la Ing.Química,Magíster,"Ambiental, Automatización de Procesos, Diseño de Procesos, Procesamiento de Minerales, Flotación, Secado, Simulación, Sistemas Particulados",58001,Malla Antigua,3
Casa Central Valparaíso,Diurna,370-1,Mag.Cs. de la Ing.Telemática,Magíster,Telemática,370,Malla Nueva,1
Casa Central Valparaíso,Diurna,820-1,Mag.Cs. mención Física.,Magíster,"Materia Condensada, Particulas de Campos",001,Malla Nueva,1
Casa Central Valparaíso,Diurna,821-1,Mag.Cs. mención Matem.,Magíster,"Análisis Numérico y Complejo, Sistemas Dinámicos y Ecuaciones diferenciales",82100,Malla Nueva,3
Casa Central Valparaíso,Diurna,822-1,Mag.Cs. mención Química.,Magíster,"Medio Ambiente, Mod. Clásicos y Cuánticos de la Materia, Recursos Naturales",82200,Malla Nueva,4
Casa Central Valparaíso,Diurna,100-1,Mag.en Gestión Empresarial,Magíster,,10004,Malla Nueva,4
Casa Central Valparaíso,Diurna,100-1,Mag.en Gestión Empresarial,Magíster,,10001,Malla Antigua,4
Casa Central Valparaíso,Diurna,100-1,Mag.en Gestión Empresarial,Magíster,,10003,Malla Antigua,4
Casa Central Valparaíso,Diurna,110-1,Mag.en Ingeniería Aeronáutica,Magíster,Aeronáutica,11001,Malla Nueva,4
Casa Central Valparaíso,Diurna,160-1,Mag.Gestión y Tecnología Agronómica,Magíster,,16001,Malla Nueva,4
Casa Central Valparaíso,Diurna,383-1,Magister en Electrónica,Magíster,"Electrónica Industrial, Telecomunicaciones",38301,Malla Nueva,0
Casa Central Valparaíso,Diurna,210-1,Master EGEI,Magíster,,203,Malla Nueva,1
Casa Central Valparaíso,Diurna,900-1,Doc. en Biotecnología,Doctorado,"Biología Celular Molecular, Bioprocesos",90001,Malla Nueva,2
Casa Central Valparaíso,Diurna,830-1,Doc. en Ciencias Físicas,Doctorado,,003,Malla Nueva,7
Casa Central Valparaíso,Diurna,830-1,Doc. en Ciencias Físicas,Doctorado,"Materia Condensada, Partículas de Campos",001,Malla Antigua,1
Casa Central Valparaíso,Diurna,831-1,Doc. en cs. men. Química,Doctorado,,83200,Malla Antigua,1
Casa Central Valparaíso,Diurna,831-1,Doc. en cs. men. Química,Doctorado,Ambiental,83200,Malla Nueva,1
Casa Central Valparaíso,Diurna,831-1,Doc. en cs. men. Química,Doctorado,"Ambiental, Productos Naturales",83100,Malla Antigua,1
Casa Central Valparaíso,Diurna,800-1,Doc. en Ing. Aplicada,Doctorado,,01,Malla Nueva,1
Casa Central Valparaíso,Diurna,390-1,Doc. en Ing. Electrónica,Doctorado,"Control Automático, Electrónica Industrial, Sist.Comp. y Telecom.",39001,Malla Nueva,1
Casa Central Valparaíso,Diurna,690-1,Doc. en Ing. Informática,Doctorado,"Computación Científica e Inteligencia Artificial, Tecnología de Software",69001,Malla Nueva,1
Casa Central Valparaíso,Diurna,490-1,Doc. en Ing. Mecánica,Doctorado,"Procesos Energéticos, Producción",49001,Malla Nueva,2
Casa Central Valparaíso,Diurna,920-1,Doc. en Ing. Química,Doctorado,,92001,Malla Nueva,1
Casa Central Valparaíso,Diurna,601-1,Doc. en Ing. Sostenible,Doctorado,,60125,Malla Nueva,1
Casa Central Valparaíso,Diurna,700-1,Doc. en Ingeniería Eléctrica,Doctorado,,,Sin dato,
Casa Central Valparaíso,Diurna,701-1,Doc. Ingeniería Eléctrica,Doctorado,,70101,Malla Nueva,8
Casa Central Valparaíso,Diurna,840-1,Doc. Matemática,Doctorado,,841,Malla Nueva,1
Casa Central Valparaíso,Vespertina,60-1,Ing. Civil Industrial,Profesional,,6806,Malla Nueva,11
Casa Central Valparaíso,Vespertina,60-1,Ing. Civil Industrial,Profesional,,6705,Malla Antigua,11
Casa Central Valparaíso,Vespertina,60-1,Ing. Civil Industrial,Profesional,,6706,Malla Antigua,11
Casa Central Valparaíso,Vespertina,60-1,Ing. Civil Industrial,Profesional,,6805,Malla Antigua,11
Casa Central Valparaíso,Vespertina,58-1,Ingeniería Comercial,Profesional,,5801,Malla Nueva,9
Casa Central Valparaíso,Vespertina,25-1,Ingeniería Eléctrica,Profesional,,2000,Malla Nueva,3
Casa Central Valparaíso,Vespertina,25-1,Ingeniería Eléctrica,Profesional,,2001,Malla Antigua,3
Casa Central Valparaíso,Vespertina,72-1,Ingeniería Informática,Profesional,,7211,Malla Nueva,3
Casa Central Valparaíso,Vespertina,40-1,Ingeniería Mecánica Industrial,Profesional,,4005,Malla Nueva,6
Casa Central Valparaíso,Vespertina,40-1,Ingeniería Mecánica Industrial,Profesional,,4000,Malla Antigua,3
Santiago San Joaquín,Diurna,49-1,Tec. Univ. en Mantenimiento Aeronáutico,Técnica,,4920,Malla Nueva,4
Santiago San Joaquín,Diurna,13-1,Arquitectura,Profesional,,1325,Malla Nueva,2
Santiago San Joaquín,Diurna,13-1,Arquitectura,Profesional,,1311,Malla Antigua,10
Santiago San Joaquín,Diurna,74-1,I.Ejec.Informática,Profesional,,7405,Malla Nueva,8
Santiago San Joaquín,Diurna,74-1,I.Ejec.Informática,Profesional,,7400,Malla Antigua,8
Santiago San Joaquín,Diurna,11-1,Ing. Civil,Profesional,,1125,Malla Nueva,1
Santiago San Joaquín,Diurna,11-1,Ing. Civil,Profesional,,1115,Malla Antigua,12
Santiago San Joaquín,Diurna,23-1,Ing. Civil  Eléctrica,Profesional,,2308,Malla Nueva,10
Santiago San Joaquín,Diurna,23-1,Ing. Civil  Eléctrica,Profesional,,2311,Malla Antigua,13
Santiago San Joaquín,Diurna,4-1,Ing. Civil Común,Profesional,,0406,Malla Nueva,4
Santiago San Joaquín,Diurna,4-1,Ing. Civil Común,Profesional,,0410,Malla Antigua,4
Santiago San Joaquín,Diurna,73-1,Ing. Civil Informática,Profesional,,7310,Malla Nueva,10
Santiago San Joaquín,Diurna,73-1,Ing. Civil Informática,Profesional,,7313,Malla Antigua,11
Santiago San Joaquín,Diurna,41-1,Ing. Civil Mecánica,Profesional,,4116,Malla Antigua,13
Santiago San Joaquín,Diurna,41-1,Ing. Civil Mecánica,Profesional,,4125,Malla Antigua,1
Santiago San Joaquín,Diurna,41-1,Ing. Civil Mecánica,Profesional,Energía,4505,Malla Antigua,13
Santiago San Joaquín,Diurna,41-1,Ing. Civil Mecánica,Profesional,Producción,4605,Malla Nueva,13
Santiago San Joaquín,Diurna,51-1,Ing. Civil Química,Profesional,,5119,Malla Nueva,10
Santiago San Joaquín,Diurna,51-1,Ing. Civil Química,Profesional,,5117,Malla Antigua,12
Santiago San Joaquín,Diurna,30-1,Ing. Civil Telemática,Profesional,,3004,Malla Nueva,10
Santiago San Joaquín,Diurna,30-1,Ing. Civil Telemática,Profesional,,3016,Malla Antigua,12
Santiago San Joaquín,Diurna,44-1,Ing. en Diseño de Productos,Profesional,,4425,Malla Nueva,1
Santiago San Joaquín,Diurna,44-1,Ing. en Diseño de Productos,Profesional,,4420,Malla Antigua,10
Santiago San Joaquín,Diurna,56-1,Ingeniería Civil de Minas,Profesional,,5614,Malla Nueva,10
Santiago San Joaquín,Diurna,56-1,Ingeniería Civil de Minas,Profesional,,5613,Malla Antigua,11
Santiago San Joaquín,Diurna,112-1,Ingeniería Civil Física,Profesional,,11224,Malla Nueva,10
Santiago San Joaquín,Diurna,112-1,Ingeniería Civil Física,Profesional,,11223,Malla Antigua,11
Santiago San Joaquín,Diurna,10-1,Ingeniería Civil Matemática,Profesional,,1009,Malla Nueva,10
Santiago San Joaquín,Diurna,10-1,Ingeniería Civil Matemática,Profesional,,1014,Malla Antigua,12
Santiago San Joaquín,Diurna,72-1,Ingeniería Informática,Profesional,,7200,Malla Nueva,10
Santiago San Joaquín,Diurna,87-1,Lic. en Astrofísica,Licenciatura,,8720,Malla Nueva,8
Santiago San Joaquín,Diurna,85-1,Lic. en Ciencias Mención Física,Licenciatura,Física,8518,Malla Nueva,8
Santiago San Joaquín,Diurna,79-1,Lic. en Física,Licenciatura,,7920,Malla Nueva,8
Santiago San Joaquín,Diurna,780-1,Mag.Cs. de la Ing.Civil,Magíster,,78002,Malla Nueva,4
Santiago San Joaquín,Diurna,380-1,Mag.Cs. de la Ing.Electrónica,Magíster,,38001,Malla Nueva,1
Santiago San Joaquín,Diurna,280-1,Mag.Cs. de la Ing.Eléctrica,Magíster,,28001,Malla Nueva,1
Santiago San Joaquín,Diurna,680-1,Mag.Cs. de la Ing.Informática,Magíster,,68002,Malla Nueva,3
Santiago San Joaquín,Diurna,680-1,Mag.Cs. de la Ing.Informática,Magíster,,68001,Malla Antigua,1
Santiago San Joaquín,Diurna,480-1,Mag.Cs. de la Ing.Mecánica,Magíster,,48001,Malla Nueva,2
Santiago San Joaquín,Diurna,580-1,Mag.Cs. de la Ing.Química,Magíster,,58002,Malla Nueva,4
Santiago San Joaquín,Diurna,580-1,Mag.Cs. de la Ing.Química,Magíster,,58001,Malla Antigua,3
Santiago San Joaquín,Diurna,120-1,Mag.Tecnologías de Información,Magíster,,12025,Malla Nueva,5
Santiago San Joaquín,Diurna,690-1,Doc. en Ing. Informática,Doctorado,,69001,Malla Nueva,1
Santiago San Joaquín,Diurna,601-1,Doc. en Ing. Sostenible,Doctorado,,60125,Malla Nueva,1
Santiago San Joaquín,Vespertina,72-1,Ingeniería Informática,Profesional,,7211,Malla Nueva,3
Santiago San Joaquín,Vespertina,40-1,Ingeniería Mecánica Industrial,Profesional,,4005,Malla Nueva,6
Santiago San Joaquín,Vespertina,40-1,Ingeniería Mecánica Industrial,Profesional,,4000,Malla Antigua,3
Santiago Vitacura,Diurna,49-1,Tec. Univ. en Mantenimiento Aeronáutico,Técnica,,4920,Malla Nueva,4
Santiago Vitacura,Diurna,49-3,Tec. Univ. en Mantenimiento Aeronáutico,Técnica,,,Sin dato,
Santiago Vitacura,Diurna,28-1,Téc. Univ. en Administración de Empresas,Técnica,,2700,Malla Nueva,4
Santiago Vitacura,Diurna,60-1,Ing. Civil Industrial,Profesional,,6006,Malla Antigua,12
Santiago Vitacura,Diurna,60-1,Ing. Civil Industrial,Profesional,,6008,Malla Antigua,10
Santiago Vitacura,Diurna,60-1,Ing. Civil Industrial,Profesional,Proyectos,6050,Malla Nueva,12
Santiago Vitacura,Diurna,73-1,Ing. Civil Informática,Profesional,,,Sin dato,
Santiago Vitacura,Diurna,66-1,Ing. Comercial,Profesional,,6607,Malla Nueva,11
Santiago Vitacura,Diurna,66-1,Ing. Comercial,Profesional,,6606,Malla Antigua,11
Santiago Vitacura,Diurna,69-1,Ing. en Aviación Comercial,Profesional,,6923,Malla Nueva,10
Santiago Vitacura,Diurna,25-1,Ingeniería Eléctrica,Profesional,,2511,Malla Nueva,10
Santiago Vitacura,Diurna,25-1,Ingeniería Eléctrica,Profesional,,2510,Malla Antigua,10
Santiago Vitacura,Diurna,59-1,Piloto Comercial,Profesional,,5912,Malla Nueva,6
Santiago Vitacura,Diurna,59-1,Piloto Comercial,Profesional,,5900,Malla Antigua,6
Santiago Vitacura,Diurna,59-1,Piloto Comercial,Profesional,,5910,Malla Antigua,7
Santiago Vitacura,Diurna,59-1,Piloto Comercial,Profesional,,5911,Malla Antigua,6
Santiago Vitacura,Diurna,170-1,Mag. Des. de Proy. Industriales,Magíster,,,Sin dato,
Santiago Vitacura,Diurna,200-1,Mag. en Ing. Industrial,Magíster,,202,Malla Nueva,4
Santiago Vitacura,Diurna,190-1,Mag. Gestión del Agua,Magíster,,191,Malla Nueva,4
Santiago Vitacura,Diurna,180-1,Mag. Prof. en Redes y Telecom.,Magíster,,002,Malla Nueva,4
